time,temperature_2m,relative_humidity_2m,wind_speed_10m,temperature_2m_target,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_24,wind_speed_10m_lag_1,wind_speed_10m_lag_2,wind_speed_10m_lag_6,wind_speed_10m_lag_12,wind_speed_10m_lag_24,relative_humidity_2m_lag_1,relative_humidity_2m_lag_2,relative_humidity_2m_lag_36,relative_humidity_2m_lag_12,relative_humidity_2m_lag_24
2024-01-02 12:00:00,21.0,45,2.6,21.5,19.5,17.5,15.1,21.1,1.8,1.4,2.5,2.9,3.7,53.0,63.0,100.0,99.0,53.0
2024-01-02 13:00:00,21.8,43,3.3,19.6,21.0,19.5,17.5,21.4,2.6,1.8,4.1,2.9,4.2,45.0,53.0,99.0,99.0,52.0
2024-01-02 14:00:00,22.1,42,4.8,17.1,21.8,21.0,19.5,21.1,3.3,2.6,4.1,4.0,5.0,43.0,45.0,99.0,98.0,51.0
2024-01-02 15:00:00,21.5,44,7.0,14.6,22.1,21.8,21.0,20.6,4.8,3.3,3.0,3.9,6.0,42.0,43.0,98.0,99.0,53.0
2024-01-02 16:00:00,19.6,59,13.4,13.0,21.5,22.1,21.8,19.0,7.0,4.8,1.4,2.5,10.9,44.0,42.0,99.0,99.0,63.0
2024-01-02 17:00:00,17.1,78,13.7,12.9,19.6,21.5,22.1,16.4,13.4,7.0,1.8,2.6,14.8,59.0,44.0,99.0,99.0,82.0
2024-01-02 18:00:00,14.6,89,7.6,13.2,17.1,19.6,21.5,14.3,13.7,13.4,2.6,2.5,6.0,78.0,59.0,100.0,95.0,93.0
2024-01-02 19:00:00,13.0,96,4.2,11.6,14.6,17.1,19.6,12.7,7.6,13.7,3.3,4.1,4.0,89.0,78.0,96.0,92.0,96.0
2024-01-02 20:00:00,12.9,93,5.8,11.5,13.0,14.6,17.1,12.9,4.2,7.6,4.8,4.1,4.1,96.0,89.0,90.0,88.0,96.0
2024-01-02 21:00:00,13.2,94,2.7,11.2,12.9,13.0,14.6,13.1,5.8,4.2,7.0,3.0,4.3,93.0,96.0,79.0,75.0,94.0
