time,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-01-01 00:00:00,10.7,100,1.1
2024-01-01 01:00:00,10.3,99,2.7
2024-01-01 02:00:00,10.4,99,3.2
2024-01-01 03:00:00,10.2,98,2.2
2024-01-01 04:00:00,9.4,99,2.5
2024-01-01 05:00:00,9.6,99,1.1
2024-01-01 06:00:00,9.7,100,1.4
2024-01-01 07:00:00,11.1,96,2.6
2024-01-01 08:00:00,13.4,90,2.6
2024-01-01 09:00:00,15.2,79,2.3
2024-01-01 10:00:00,17.2,70,1.8
2024-01-01 11:00:00,19.5,60,4.0
2024-01-01 12:00:00,21.1,53,3.7
2024-01-01 13:00:00,21.4,52,4.2
2024-01-01 14:00:00,21.1,51,5.0
2024-01-01 15:00:00,20.6,53,6.0
2024-01-01 16:00:00,19.0,63,10.9
2024-01-01 17:00:00,16.4,82,14.8
2024-01-01 18:00:00,14.3,93,6.0
2024-01-01 19:00:00,12.7,96,4.0
2024-01-01 20:00:00,12.9,96,4.1
2024-01-01 21:00:00,13.1,94,4.3
2024-01-01 22:00:00,12.6,99,0.8
2024-01-01 23:00:00,10.8,100,1.8
2024-01-02 00:00:00,10.9,99,2.9
2024-01-02 01:00:00,11.2,99,2.9
2024-01-02 02:00:00,11.2,98,4.0
2024-01-02 03:00:00,11.1,99,3.9
2024-01-02 04:00:00,10.7,99,2.5
2024-01-02 05:00:00,10.2,99,2.6
2024-01-02 06:00:00,10.4,95,2.5
2024-01-02 07:00:00,11.1,92,4.1
2024-01-02 08:00:00,12.8,88,4.1
2024-01-02 09:00:00,15.1,75,3.0
2024-01-02 10:00:00,17.5,63,1.4
2024-01-02 11:00:00,19.5,53,1.8
2024-01-02 12:00:00,21.0,45,2.6
2024-01-02 13:00:00,21.8,43,3.3
2024-01-02 14:00:00,22.1,42,4.8
2024-01-02 15:00:00,21.5,44,7.0
2024-01-02 16:00:00,19.6,59,13.4
2024-01-02 17:00:00,17.1,78,13.7
2024-01-02 18:00:00,14.6,89,7.6
2024-01-02 19:00:00,13.0,96,4.2
2024-01-02 20:00:00,12.9,93,5.8
2024-01-02 21:00:00,13.2,94,2.7
2024-01-02 22:00:00,11.6,98,4.8
2024-01-02 23:00:00,11.5,98,3.7
2024-01-03 00:00:00,11.2,100,2.1
2024-01-03 01:00:00,10.5,100,1.0
2024-01-03 02:00:00,9.9,100,1.9
2024-01-03 03:00:00,9.6,100,3.2
2024-01-03 04:00:00,9.4,100,3.4
2024-01-03 05:00:00,9.4,99,2.7
2024-01-03 06:00:00,8.5,100,2.1
2024-01-03 07:00:00,9.8,99,2.4
2024-01-03 08:00:00,12.7,88,4.1
2024-01-03 09:00:00,15.8,74,2.6
2024-01-03 10:00:00,18.0,62,2.2
2024-01-03 11:00:00,19.3,57,1.3
2024-01-03 12:00:00,20.5,50,4.7
2024-01-03 13:00:00,21.9,46,6.8
2024-01-03 14:00:00,22.0,42,7.7
2024-01-03 15:00:00,20.4,48,11.6
2024-01-03 16:00:00,18.0,64,13.7
2024-01-03 17:00:00,16.7,76,9.1
2024-01-03 18:00:00,13.5,92,6.8
2024-01-03 19:00:00,13.4,91,4.6
2024-01-03 20:00:00,13.4,93,3.3
2024-01-03 21:00:00,13.6,91,1.8
2024-01-03 22:00:00,12.4,94,0.7
2024-01-03 23:00:00,10.6,98,1.3
2024-01-04 00:00:00,10.6,99,1.3
2024-01-04 01:00:00,9.6,100,2.1
2024-01-04 02:00:00,9.6,99,0.5
2024-01-04 03:00:00,10.4,100,2.1
2024-01-04 04:00:00,10.8,99,1.8
2024-01-04 05:00:00,10.1,99,1.8
2024-01-04 06:00:00,9.6,99,2.2
2024-01-04 07:00:00,10.5,96,2.6
2024-01-04 08:00:00,12.2,90,1.5
2024-01-04 09:00:00,15.1,77,0.7
2024-01-04 10:00:00,18.0,62,0.5
2024-01-04 11:00:00,20.0,50,1.1
2024-01-04 12:00:00,21.0,44,2.8
