feature,shap_importance
cos_comp,2.2841525
hour,0.98026174
sin_comp,0.59491366
temperature_2m,0.3560037
relative_humidity_2m,0.32107896
relative_humidity_2m_lag_12,0.31053677
temperature_2m_lag_3,0.1522605
relative_humidity_2m_lag_24,0.095430374
relative_humidity_2m_lag_36,0.071467474
month,0.06963992
relative_humidity_2m_lag_2,0.067576535
wind_speed_10m_lag_6,0.04901729
temperature_2m_lag_1,0.047315277
temperature_2m_lag_2,0.04404068
relative_humidity_2m_lag_1,0.039134316
dayofweek,0.032708846
wind_speed_10m_lag_2,0.030119767
temperature_2m_lag_24,0.028776525
wind_speed_10m_lag_1,0.023466237
wind_speed_10m_lag_24,0.022747146
wind_speed_10m,0.016721765
wind_speed_10m_lag_12,0.016601315
